Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,64.035004,64.035004,64.035004,64.035004,64.035004,0
2019-07-26,64.510002,64.510002,64.510002,64.644997,64.644997,1
2019-07-29,65.000000,65.000000,65.000000,65.459999,65.459999,51
2019-07-30,65.489998,65.489998,65.489998,65.489998,65.489998,0
2019-07-31,65.195000,65.195000,65.195000,65.195000,65.195000,0
2019-08-01,65.614998,65.614998,65.614998,65.614998,65.614998,0
2019-08-02,64.379997,64.379997,64.379997,63.900002,63.900002,911
2019-08-05,63.020000,63.020000,63.020000,62.535000,62.535000,5
2019-08-06,62.130001,62.200001,62.130001,62.275002,62.275002,560
2019-08-07,62.400002,62.400002,62.400002,62.369999,62.369999,97
2019-08-08,63.654999,63.654999,63.654999,63.654999,63.654999,0
2019-08-09,64.129997,64.129997,64.129997,63.485001,63.485001,15
2019-08-12,63.400002,63.400002,63.400002,63.375000,63.375000,400
2019-08-13,62.990002,63.950001,62.990002,63.915001,63.915001,1063
2019-08-14,62.849998,63.709999,62.849998,62.619999,62.619999,604
2019-08-15,63.099998,63.099998,63.099998,62.055000,62.055000,761
2019-08-16,62.730000,62.730000,62.730000,62.730000,62.730000,0
2019-08-19,63.509998,63.509998,63.509998,63.509998,63.509998,0
2019-08-20,63.709999,63.709999,63.709999,63.244999,63.244999,30
2019-08-21,63.619999,63.619999,63.619999,63.619999,63.619999,0
2019-08-22,63.500000,63.610001,63.459999,62.730000,62.730000,1681
2019-08-23,62.075001,62.075001,62.075001,62.075001,62.075001,0
2019-08-27,62.330002,62.360001,62.150002,61.959999,61.959999,1406
2019-08-28,62.000000,62.000000,62.000000,62.400002,62.400002,40
2019-08-29,63.180000,63.180000,63.180000,63.255001,63.255001,3
2019-08-30,63.290001,63.290001,63.290001,63.290001,63.290001,0
2019-09-02,63.889999,63.889999,63.889999,63.889999,63.889999,0
2019-09-03,64.050003,64.050003,64.050003,63.560001,63.560001,81
2019-09-04,63.770000,63.770000,63.770000,63.790001,63.790001,84
2019-09-05,63.910000,64.010002,63.910000,63.889999,63.889999,260
2019-09-06,63.950001,63.950001,63.950001,64.150002,64.150002,100
2019-09-09,64.010002,64.010002,64.010002,63.990002,63.990002,30
