Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,50.000000,50.000000,50.000000,50.000000,50.000000,0
2019-05-15,50.300201,50.300201,50.300201,50.300201,50.300201,0
2019-05-16,39.430000,39.430000,39.430000,39.810001,39.810001,1
2019-05-17,39.810001,39.810001,39.810001,39.810001,39.810001,0
2019-05-20,39.810001,39.810001,39.810001,39.810001,39.810001,0
2019-05-21,39.810001,39.810001,39.810001,39.810001,39.810001,0
2019-05-22,39.720001,39.959999,39.720001,39.915001,39.915001,10000
2019-05-23,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-05-24,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-05-28,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-05-29,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-05-30,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-05-31,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-03,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-04,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-05,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-06,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-07,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-10,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-11,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-12,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-13,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-14,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-17,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-18,39.915001,39.915001,39.915001,39.915001,39.915001,0
2019-06-19,41.009998,41.009998,41.009998,40.834999,40.834999,10
2019-06-20,41.160000,41.160000,41.160000,40.955002,40.955002,121
2019-06-21,40.955002,40.955002,40.955002,40.955002,40.955002,0
2019-06-24,41.029999,41.029999,41.029999,41.005001,41.005001,973
2019-06-25,41.005001,41.005001,41.005001,41.005001,41.005001,0
2019-06-26,41.005001,41.005001,41.005001,41.005001,41.005001,0
2019-06-27,40.669998,40.770000,40.669998,40.740002,40.740002,20000
2019-06-28,40.740002,40.740002,40.740002,40.740002,40.740002,0
2019-07-01,40.740002,40.740002,40.740002,40.740002,40.740002,0
2019-07-02,40.740002,40.740002,40.740002,40.740002,40.740002,0
2019-07-03,40.740002,40.740002,40.740002,40.740002,40.740002,0
2019-07-04,40.740002,40.740002,40.740002,40.740002,40.740002,0
2019-07-05,42.110001,42.110001,42.110001,42.110001,42.110001,0
2019-07-08,42.625000,42.625000,42.625000,42.064999,42.064999,24
2019-07-09,42.209999,42.209999,42.209999,42.215000,42.215000,260
2019-07-10,42.285000,42.285000,42.285000,42.285000,42.285000,0
2019-07-11,42.299999,42.299999,42.299999,42.264999,42.264999,470
2019-07-12,42.389999,42.389999,42.389999,42.345001,42.345001,118
2019-07-15,42.945000,42.945000,42.509998,42.584999,42.584999,4332
2019-07-16,42.924999,42.924999,42.924999,42.924999,42.924999,0
2019-07-17,42.615002,42.615002,42.615002,42.615002,42.615002,0
2019-07-18,42.220001,42.220001,42.220001,42.185001,42.185001,2391
2019-07-19,42.500000,42.500000,42.500000,42.415001,42.415001,115
2019-07-22,42.599998,42.599998,42.599998,42.244999,42.244999,246
2019-07-23,42.650002,42.689999,42.560001,42.570000,42.570000,490
2019-07-24,42.660000,42.660000,42.660000,42.595001,42.595001,236
2019-07-25,43.119999,43.119999,43.119999,42.705002,42.705002,5239
2019-07-26,43.195000,43.195000,43.195000,43.195000,43.195000,0
2019-07-29,43.650002,43.779999,43.470001,43.755001,43.755001,1096
